TimeStep,Time,"U:0","U:1","U:2","p","arc_length"
2,300,19.769,2.6149,-1.8736,-1.5193,7.2469
2,300,nan,nan,nan,nan,7.2608
2,300,19.921,2.7757,-1.7372,-2.1397,7.2746
2,300,19.939,2.863,-1.7069,-2.3699,7.2885
2,300,19.957,2.9499,-1.6762,-2.6012,7.3023
2,300,20.021,2.993,-1.6155,-3.7145,7.3162
2,300,20.1,3.0191,-1.5446,-5.1687,7.33
2,300,20.18,3.045,-1.4736,-6.6236,7.3439
2,300,20.258,3.0714,-1.4025,-8.0402,7.3578
2,300,20.311,3.1334,-1.3648,-9.0375,7.3716
2,300,20.366,3.2024,-1.329,-10.047,7.3855
2,300,20.422,3.2713,-1.2932,-11.058,7.3993
2,300,20.478,3.3402,-1.2574,-12.068,7.4132
2,300,20.54,3.3345,-1.195,-13.385,7.427
2,300,20.602,3.3212,-1.1171,-14.672,7.4409
2,300,20.666,3.3061,-1.0379,-15.99,7.4547
2,300,20.727,3.2902,-0.95405,-17.172,7.4686
2,300,20.813,3.29,-0.89912,-18.668,7.4825
2,300,20.903,3.2784,-0.83579,-20.133,7.4963
2,300,20.993,3.2667,-0.77242,-21.595,7.5102
2,300,21.071,3.2435,-0.70568,-22.888,7.524
2,300,21.095,3.1671,-0.62366,-23.549,7.5379
2,300,21.119,3.0906,-0.5416,-24.211,7.5517
2,300,21.143,3.0141,-0.45954,-24.872,7.5656
2,300,21.174,2.9611,-0.3941,-25.55,7.5795
2,300,21.229,2.9111,-0.3299,-26.704,7.5933
2,300,21.284,2.858,-0.26417,-27.858,7.6072
2,300,21.339,2.8048,-0.19856,-29.005,7.621
2,300,21.382,2.7734,-0.1565,-29.879,7.6349
2,300,21.421,2.7351,-0.11412,-30.656,7.6487
2,300,21.459,2.6942,-0.07124,-31.406,7.6626
2,300,21.497,2.6521,-0.028141,-32.144,7.6764
2,300,21.515,2.5801,0.01672,-32.379,7.6903
2,300,21.522,2.4939,0.058124,-32.34,7.7042
2,300,21.526,2.4084,0.095162,-32.207,7.718
2,300,21.526,2.3239,0.12823,-31.999,7.7319
2,300,21.523,2.2408,0.15771,-31.731,7.7457
2,300,21.517,2.1594,0.18402,-31.419,7.7596
2,300,21.511,2.0801,0.20754,-31.081,7.7734
2,300,21.503,2.0032,0.22869,-30.732,7.7873
2,300,21.505,1.9434,0.24791,-30.663,7.8012
2,300,21.504,1.8807,0.26554,-30.548,7.815
2,300,21.503,1.82,0.2817,-30.426,7.8289
2,300,21.5,1.7611,0.29642,-30.297,7.8427
2,300,21.498,1.7039,0.30969,-30.158,7.8566
2,300,21.494,1.6483,0.32154,-30.007,7.8704
2,300,21.49,1.5944,0.33196,-29.843,7.8843
2,300,21.484,1.5419,0.34097,-29.665,7.8982
2,300,21.481,1.4917,0.34924,-29.54,7.912
2,300,21.476,1.4411,0.35602,-29.383,7.9259
2,300,21.471,1.3921,0.36204,-29.22,7.9397
2,300,21.465,1.3444,0.36736,-29.05,7.9536
2,300,21.459,1.2982,0.37198,-28.873,7.9674
2,300,21.453,1.2533,0.37594,-28.687,7.9813
2,300,21.446,1.2097,0.37927,-28.492,7.9951
2,300,21.438,1.1674,0.38199,-28.286,8.009
2,300,21.43,1.1267,0.38345,-28.068,8.0229
2,300,21.422,1.0872,0.38444,-27.851,8.0367
2,300,21.413,1.0487,0.38503,-27.631,8.0506
2,300,21.404,1.0112,0.38525,-27.407,8.0644
2,300,21.395,0.97478,0.3851,-27.177,8.0783
